job,job_location,scrape_result,scrape_time
Data%20Engineer,Austria,"['Past 24 hours (44)', 'Past Week (229)', 'Past Month (640)', 'Any Time (914)']",2022-09-14 16:14:08.167368
Data%20Analyst,Austria,"['Past 24 hours (59)', 'Past Week (272)', 'Past Month (718)', 'Any Time (1,030)']",2022-09-14 16:14:09.265260
Data%20Scientist,Austria,"['Past 24 hours (55)', 'Past Week (216)', 'Past Month (614)', 'Any Time (877)']",2022-09-14 16:14:10.289213
Machine%20Learning%20Engineer,Austria,"['Past 24 hours (44)', 'Past Week (172)', 'Past Month (447)', 'Any Time (638)']",2022-09-14 16:14:11.363289
Data%20Engineer,Austria,,2022-09-14 15:19:46.376882
Data%20Analyst,Austria,,2022-09-14 15:19:46.443068
Data%20Scientist,Austria,,2022-09-14 15:19:46.511914
Machine%20Learning%20Engineer,Austria,,2022-09-14 15:19:46.552447
Data%20Engineer,Austria,,2022-09-14 15:34:31.886521
Data%20Analyst,Austria,,2022-09-14 15:34:32.001225
Data%20Scientist,Austria,,2022-09-14 15:34:32.078859
Machine%20Learning%20Engineer,Austria,,2022-09-14 15:34:32.163231
Data%20Engineer,Austria,,2022-09-14 15:51:19.678583
Data%20Analyst,Austria,,2022-09-14 15:51:19.772644
Data%20Scientist,Austria,,2022-09-14 15:51:19.878080
Machine%20Learning%20Engineer,Austria,,2022-09-14 15:51:19.908830
Data%20Engineer,Austria,,2022-09-15 05:18:51.111278
Data%20Analyst,Austria,,2022-09-15 05:18:51.137910
Data%20Scientist,Austria,,2022-09-15 05:18:51.236948
Machine%20Learning%20Engineer,Austria,,2022-09-15 05:18:51.315918
